"","COD_INE","Municipio","Poblacion"
"419","17115","Ordis",361
"420","17116","Osor",428
"421","17117","Palafrugell",23244
"422","17118","Palamós",18135
"423","17119","Palau de Santa Eulàlia",90
"424","17121","Palau-sator",310
"425","17120","Palau-saverdera",1456
"426","17123","Palol de Revardit",448
"427","17124","Pals",2395
"428","17125","Pardines",169
"429","17126","Parlavà",391
"430","17128","Pau",557
"431","17129","Pedret i Marzà",191
"432","17130","Pera, La",435
"433","17132","Peralada",1898
"434","17133","Planes d'Hostoles, Les",1712
"435","17134","Planoles",304
"436","17135","Pont de Molins",516
"437","17136","Pontós",260
"438","17137","Porqueres",4677
"439","17140","Port de la Selva, El",958
"440","17138","Portbou",1063
"441","17139","Preses, Les",1855
"442","17141","Puigcerdà",9486
"443","17142","Quart",3798
"444","17043","Queralbs",188
"445","17143","Rabós",184
"446","17144","Regencós",276
"447","17145","Ribes de Freser",1760
"448","17146","Riells i Viabrea",4153
"449","17147","Ripoll",10803
"450","17148","Riudarenes",2204
"451","17149","Riudaura",481
"452","17150","Riudellots de la Selva",2071
"453","17151","Riumors",246
"454","17152","Roses",19807
"455","17153","Rupià",273
"456","17154","Sales de Llierca",159
"457","17155","Salt",32138
"458","17157","Sant Andreu Salou",160
"459","17183","Sant Aniol de Finestres",345
"460","17158","Sant Climent Sescebes",707
"461","17159","Sant Feliu de Buixalleu",797
"462","17160","Sant Feliu de Guíxols",22097
"463","17161","Sant Feliu de Pallerols",1437
"464","17162","Sant Ferriol",236
"465","17163","Sant Gregori",3928
"466","17164","Sant Hilari Sacalm",5703
"467","17165","Sant Jaume de Llierca",871
"468","17167","Sant Joan de les Abadesses",3224
"469","17168","Sant Joan de Mollet",498
"470","17185","Sant Joan les Fonts",3044
"471","17166","Sant Jordi Desvalls",760
"472","17169","Sant Julià de Ramis",3576
"473","17903","Sant Julià del Llor i Bonmatí",1313
"474","17171","Sant Llorenç de la Muga",265
"475","17172","Sant Martí de Llémena",641
"476","17173","Sant Martí Vell",251
"477","17174","Sant Miquel de Campmajor",229
"478","17175","Sant Miquel de Fluvià",761
"479","17176","Sant Mori",166
"480","17177","Sant Pau de Segúries",688
"481","17178","Sant Pere Pescador",2090
"482","17180","Santa Coloma de Farners",13363
"483","17181","Santa Cristina d'Aro",5287
"484","17182","Santa Llogaia d'Àlguema",368
"485","17184","Santa Pau",1614
"486","17186","Sarrià de Ter",5229
"487","17187","Saus, Camallera i Llampaies",856
"488","17188","Selva de Mar, La",195
"489","17190","Serinyà",1133
"490","17191","Serra de Daró",222
"491","17192","Setcases",170
"492","17193","Sils",6219
"493","17052","Siurana",171
"494","17194","Susqueda",93
"495","17195","Tallada d'Empordà, La",454
"496","17196","Terrades",338
"497","17197","Torrent",164
"498","17198","Torroella de Fluvià",703
"499","17199","Torroella de Montgrí",11836
"500","17200","Tortellà",818
"501","17201","Toses",168
"502","17202","Tossa de Mar",5818
"503","17204","Ullà",1177
"504","17205","Ullastret",274
"505","17203","Ultramort",225
"506","17206","Urús",196
"507","17014","Vajol, La",89
"508","17208","Vall de Bianya, La",1275
"509","17207","Vall d'en Bas, La",3093
"510","17170","Vallfogona de Ripollès",196
"511","17209","Vall-llobrega",897
"512","17210","Ventalló",846
"513","17211","Verges",1169
"514","17212","Vidrà",177
"515","17213","Vidreres",7951
"516","17214","Vilabertran",993
"517","17215","Vilablareix",3063
"518","17217","Viladamat",458
"519","17216","Viladasens",206
"520","17218","Vilademuls",835
"521","17220","Viladrau",1047
"522","17221","Vilafant",5421
"523","17223","Vilajuïga",1116
"524","17224","Vilallonga de Ter",398
"525","17225","Vilamacolum",377
"526","17226","Vilamalla",1161
"527","17227","Vilamaniscle",212
"528","17228","Vilanant",386
"529","17230","Vila-sacra",758
"530","17222","Vilaür",158
"531","17233","Vilobí d'Onyar",3333
"532","17232","Vilopriu",204
"533","25001","Abella de la Conca",183
"534","25002","Àger",580
"535","25003","Agramunt",5411
"536","25038","Aitona",2567
"537","25004","Alamús, Els",811
"538","25005","Alàs i Cerc",320
"539","25006","Albagés, L'",361
"540","25007","Albatàrrec",2236
"541","25008","Albesa",1561
"542","25009","Albi, L'",744
"543","25010","Alcanó",238
"544","25011","Alcarràs",9707
"545","25012","Alcoletge",3435
"546","25013","Alfarràs",2765
"547","25014","Alfés",297
"548","25015","Algerri",404
"549","25016","Alguaire",3029
"550","25017","Alins",272
"551","25019","Almacelles",6826
"552","25020","Almatret",305
"553","25021","Almenar",3357
"554","25022","Alòs de Balaguer",132
"555","25023","Alpicat",6266
"556","25024","Alt Àneu",414
"557","25027","Anglesola",1365
"558","25029","Arbeca",2126
"559","25031","Arres",60
"560","25032","Arsèguel",81
"561","25033","Artesa de Lleida",1535
"562","25034","Artesa de Segre",3400
"563","25036","Aspa",220
"564","25037","Avellanes i Santa Linya, Les",433
"565","25039","Baix Pallars",331
"566","25040","Balaguer",17472
"567","25041","Barbens",878
"568","25042","Baronia de Rialb, La",229
"569","25044","Bassella",217
"570","25045","Bausen",60
"571","25046","Belianes",520
"572","25170","Bellaguarda",287
"573","25047","Bellcaire d'Urgell",1199
"574","25048","Bell-lloc d'Urgell",2335
"575","25049","Bellmunt d'Urgell",185
"576","25050","Bellpuig",5218
"577","25051","Bellver de Cerdanya",2005
"578","25052","Bellvís",2260
"579","25053","Benavent de Segrià",1518
"580","25055","Biosca",177
"581","25057","Bòrdes, Es",255
"582","25058","Borges Blanques, Les",6173
"583","25059","Bossòst",1115
"584","25056","Bovera",248
"585","25060","Cabanabona",71
"586","25061","Cabó",93
"587","25062","Camarasa",810
"588","25063","Canejan",89
"589","25904","Castell de Mur",173
"590","25064","Castellar de la Ribera",131
"591","25067","Castelldans",930
"592","25068","Castellnou de Seana",665
"593","25069","Castelló de Farfanya",539
"594","25070","Castellserà",996
"595","25071","Cava",45
"596","25072","Cervera",9350
"597","25073","Cervià de les Garrigues",662
"598","25074","Ciutadilla",208
"599","25075","Clariana de Cardener",161
"600","25076","Cogul, El",151
"601","25077","Coll de Nargó",540
"602","25163","Coma i la Pedra, La",255
"603","25161","Conca de Dalt",410
"604","25078","Corbins",1462
"605","25079","Cubells",338
"606","25081","Espluga Calba, L'",329
"607","25082","Espot",366
"608","25088","Estamariu",125
"609","25085","Estaràs",156
"610","25086","Esterri d'Àneu",804
"611","25087","Esterri de Cardós",64
"612","25089","Farrera",108
"613","25908","Fígols i Alinyà",244
"614","25092","Floresta, La",140
"615","25093","Fondarella",776
"616","25094","Foradada",203
"617","25096","Fuliola, La",1250
"618","25097","Fulleda",102
"619","25098","Gavet de la Conca",261
"620","25912","Gimenells i el Pla de la Font",1120
"621","25099","Golmés",1855
"622","25100","Gósol",206
"623","25101","Granadella, La",716
"624","25102","Granja d'Escarp, La",922
"625","25103","Granyanella",143
"626","25105","Granyena de les Garrigues",140
"627","25104","Granyena de Segarra",151
"628","25109","Guimerà",271
"629","25903","Guingueta d'Àneu, La",289
"630","25110","Guissona",7248
"631","25111","Guixers",132
"632","25115","Isona i Conca Dellà",1042
"633","25112","Ivars de Noguera",332
"634","25113","Ivars d'Urgell",1537
"635","25114","Ivorra",108
"636","25910","Josa i Tuixén",103
"637","25118","Juncosa",395
"638","25119","Juneda",3501
"639","25121","Les",971
"640","25122","Linyola",2717
"641","25123","Lladorre",237
"642","25124","Lladurs",180
"643","25125","Llardecans",444
"644","25126","Llavorsí",346
"645","25120","Lleida",140403
"646","25127","Lles de Cerdanya",270
"647","25128","Llimiana",146
"648","25129","Llobera",188
"649","25133","Maials",909
"650","25130","Maldà",227
"651","25131","Massalcoreig",610
"652","25132","Massoteres",212
"653","25134","Menàrguens",813
"654","25135","Miralcamp",1385
"655","25137","Mollerussa",14649
"656","25136","Molsosa, La",104
"657","25139","Montellà i Martinet",578
"658","25140","Montferrer i Castellbò",1034
"659","25138","Montgai",643
"660","25142","Montoliu de Lleida",483
"661","25141","Montoliu de Segarra",187
"662","25143","Montornès de Segarra",96
"663","25145","Nalec",90
"664","25025","Naut Aran",1836
"665","25146","Navès",284
"666","25148","Odèn",258
"667","25149","Oliana",1843
"668","25150","Oliola",203
"669","25151","Olius",981
"670","25152","Oluges, Les",171
"671","25153","Omellons, Els",206
"672","25154","Omells de na Gaia, Els",130
"673","25155","Organyà",771
"674","25156","Os de Balaguer",980
"675","25157","Ossó de Sió",203
"676","25158","Palau d'Anglesola, El",2166
"677","25164","Penelles",436
"678","25165","Peramola",347
"679","25166","Pinell de Solsonès",193
"680","25167","Pinós",286
"681","25911","Plans de Sió, Els",491
"682","25168","Poal, El",670
"683","25169","Pobla de Cérvoles, La",189
"684","25171","Pobla de Segur, La",3043
"685","25030","Pont de Bar, El",152
"686","25173","Pont de Suert, El",2257
"687","25172","Ponts",2644
"688","25174","Portella, La",743
"689","25175","Prats i Sansor",222
"690","25176","Preixana",387
"691","25177","Preixens",418
"692","25179","Prullans",226
"693","25180","Puiggròs",278
"694","25181","Puigverd d'Agramunt",229
"695","25182","Puigverd de Lleida",1349
"696","25183","Rialp",641
"697","25905","Ribera d'Ondara",433
"698","25185","Ribera d'Urgellet",932
"699","25186","Riner",263
"700","25913","Riu de Cerdanya",93
"701","25189","Rosselló",3237
"702","25190","Salàs de Pallars",327
"703","25191","Sanaüja",379
"704","25196","Sant Esteve de la Sarga",122
"705","25192","Sant Guim de Freixenet",1037
"706","25197","Sant Guim de la Plana",181
"707","25193","Sant Llorenç de Morunys",960
"708","25902","Sant Martí de Riucorb",639
"709","25194","Sant Ramon",487
"710","25201","Sarroca de Bellera",116
"711","25200","Sarroca de Lleida",358
"712","25202","Senterada",139
"713","25035","Sentiu de Sió, La",414
"714","25204","Seròs",1946
"715","25203","Seu d'Urgell, La",12206
"716","25205","Sidamon",748
"717","25206","Soleràs, El",332
"718","25207","Solsona",9137
"719","25208","Soriguera",420
"720","25209","Sort",2154
"721","25210","Soses",1761
"722","25211","Sudanell",840
"723","25212","Sunyer",343
"724","25215","Talarn",595
"725","25216","Talavera",279
"726","25217","Tàrrega",17445
"727","25218","Tarrés",102
"728","25219","Tarroja de Segarra",188
"729","25220","Térmens",1360
"730","25221","Tírvia",134
"731","25222","Tiurana",77
"732","25223","Torà",1237
"733","25224","Torms, Els",138
"734","25225","Tornabous",822
"735","25227","Torre de Cabdella, La",759
"736","25226","Torrebesses",267
"737","25228","Torrefarrera",4694
"738","25907","Torrefeta i Florejacs",607
"739","25230","Torregrossa",2179
"740","25231","Torrelameu",735
"741","25232","Torres de Segre",2366
"742","25233","Torre-serona",398
"743","25234","Tremp",5911
"744","25043","Vall de Boí, La",1019
"745","25901","Vall de Cardós",350
"746","25238","Vallbona de les Monges",243
"747","25240","Vallfogona de Balaguer",1906
