"","X","COD_INE","Municipio","Poblacion"
"520",520,17218,"Vilademuls",835
"521",521,17220,"Viladrau",1047
"522",522,17221,"Vilafant",5421
"523",523,17223,"Vilajuïga",1116
"524",524,17224,"Vilallonga de Ter",398
"525",525,17225,"Vilamacolum",377
"526",526,17226,"Vilamalla",1161
"527",527,17227,"Vilamaniscle",212
"528",528,17228,"Vilanant",386
"529",529,17230,"Vila-sacra",758
"530",530,17222,"Vilaür",158
"531",531,17233,"Vilobí d'Onyar",3333
"532",532,17232,"Vilopriu",204
"533",533,25001,"Abella de la Conca",183
"534",534,25002,"Àger",580
"535",535,25003,"Agramunt",5411
"536",536,25038,"Aitona",2567
"537",537,25004,"Els Alamús",811
"538",538,25005,"Alàs i Cerc",320
"539",539,25006,"L'Albagés",361
"540",540,25007,"Albatàrrec",2236
"541",541,25008,"Albesa",1561
"542",542,25009,"L'Albi",744
"543",543,25010,"Alcanó",238
"544",544,25011,"Alcarràs",9707
"545",545,25012,"Alcoletge",3435
"546",546,25013,"Alfarràs",2765
"547",547,25014,"Alfés",297
"548",548,25015,"Algerri",404
"549",549,25016,"Alguaire",3029
"550",550,25017,"Alins",272
"551",551,25019,"Almacelles",6826
"552",552,25020,"Almatret",305
"553",553,25021,"Almenar",3357
"554",554,25022,"Alòs de Balaguer",132
"555",555,25023,"Alpicat",6266
"556",556,25024,"Alt Àneu",414
"557",557,25027,"Anglesola",1365
"558",558,25029,"Arbeca",2126
"559",559,25031,"Arres",60
"560",560,25032,"Arsèguel",81
"561",561,25033,"Artesa de Lleida",1535
"562",562,25034,"Artesa de Segre",3400
"563",563,25036,"Aspa",220
"564",564,25037,"Les Avellanes i Santa Linya",433
"565",565,25039,"Baix Pallars",331
"566",566,25040,"Balaguer",17472
"567",567,25041,"Barbens",878
"568",568,25042,"La Baronia de Rialb",229
"569",569,25044,"Bassella",217
"570",570,25045,"Bausen",60
"571",571,25046,"Belianes",520
"572",572,25170,"Bellaguarda",287
"573",573,25047,"Bellcaire d'Urgell",1199
"574",574,25048,"Bell-lloc d'Urgell",2335
"575",575,25049,"Bellmunt d'Urgell",185
"576",576,25050,"Bellpuig",5218
"577",577,25051,"Bellver de Cerdanya",2005
"578",578,25052,"Bellvís",2260
"579",579,25053,"Benavent de Segrià",1518
"580",580,25055,"Biosca",177
"581",581,25057,"Es Bòrdes",255
"582",582,25058,"Les Borges Blanques",6173
"583",583,25059,"Bossòst",1115
"584",584,25056,"Bovera",248
"585",585,25060,"Cabanabona",71
"586",586,25061,"Cabó",93
"587",587,25062,"Camarasa",810
"588",588,25063,"Canejan",89
"589",589,25904,"Castell de Mur",173
"590",590,25064,"Castellar de la Ribera",131
"591",591,25067,"Castelldans",930
"592",592,25068,"Castellnou de Seana",665
"593",593,25069,"Castelló de Farfanya",539
"594",594,25070,"Castellserà",996
