"","house.price","RP","crime","built.area","age","retired","children","immigrants","shopping","historical","baths","type.house","floor","good.cond","garage","elevator","air.cond","swimming.pool","M.30","longitude","latitude"
"4286",3150,0.33,0.76,30,30,18.6782268954326,13.431372167504,17.8368933701206,1,1,1,"piso","seg.-terc.","bueno","no","no","no","no",0,-3.703169,40.408436
"4299",4271,0.33,0.76,96,7.5,16.2444144382421,8.89722566365522,18.5726018625499,1,1,1,"piso","ZZZ","bueno","ZZZ","si","si","no",1,-3.704753,40.412614
"5469",3636,0.31,0.33,132,15,16.4637662379734,12.4059736305031,12.0677702549483,1,1,2,"piso","seg.-terc.","bueno","si","si","no","no",0,-3.718339,40.402603
"3631",4337,0.29,0.43,83,7,19.5566137701235,11.1810440577564,17.5599075693549,0,0,2,"atico","seg.-terc.","bueno","si","si","no","no",1,-3.700722,40.453745
"5816",4000,0.39,0.56,120,20,16.4637662379734,12.4059736305031,12.0677702549483,1,1,2,"piso","seg.-terc.","bueno","si","si","si","si",0,-3.68248,40.39415
"5170",6350,0.19,0.22,200,30,20.7117330727654,12.7764832897155,7.36947118834004,1,1,3,"piso","sexta_o_mas","bueno","no","si","si","no",0,-3.687973,40.457658
"9909",3143,0.3,0.61,70,35,18.6782268954326,13.431372167504,17.8368933701206,0,0,1,"piso","seg.-terc.","bueno","no","no","no","no",0,-3.731983,40.397418
"8724",3018,0.27,0.57,55,24.3808190233948,21.8191401950297,11.6618606886501,13.9478008774786,0,0,1,"piso","bajo","bueno","no","no","si","no",0,-3.731489,40.412597
"5615",5455,0.36,0.66,110,33.7043249530114,16.2444144382421,8.89722566365522,18.5726018625499,1,1,2,"piso","cuar.-quinta","bueno","no","si","si","no",1,-3.695143,40.423695
"7683",2200,0.14,0.28,90,40,16.9485824548359,14.2042185577595,7.08064473299875,0,0,1,"piso","primera","a_reformar","no","si","no","no",0,-3.713876,40.473629
"4496",3333,0.27,0.38,180,35.0639625019905,21.3085529446878,11.4343101904508,6.06361267736289,1,1,2,"piso","seg.-terc.","a_reformar","no","no","ZZZ","ZZZ",0,-3.66673,40.420129
"6088",2909,0.44,0.63,101,1.34033185744219,16.5594715715936,15.4340900438799,18.1236517127839,0,0,2,"piso","sexta_o_mas","bueno","si","si","si","si",0,-3.683617,40.358269
"6070",2681,0.44,0.63,65,26.9049716829712,16.5594715715936,15.4340900438799,18.1236517127839,0,0,1,"piso","primera","bueno","no","no","si","no",0,-3.687029,40.350534
"9728",3333,0.47,0.75,72,10,17.6805558506683,14.7617732259595,20.543385107905,0,0,1,"piso","seg.-terc.","bueno","si","si","si","si",0,-3.688298,40.368411
"6129",2462,0.44,0.63,52,30,16.5594715715936,15.4340900438799,18.1236517127839,0,0,1,"piso","ZZZ","bueno","ZZZ","no","ZZZ","ZZZ",0,-3.685763,40.353347
"3852",4467,0.49,0.44,150,22.8345005714702,16.9485824548359,14.2042185577595,7.08064473299875,0,0,2,"piso","seg.-terc.","bueno","si","si","si","no",0,-3.694732,40.506996
"4751",4218,0.24,0.26,147,29.8494513468145,22.4451037773467,10.8508323139206,8.57455680888883,1,1,2,"piso","cuar.-quinta","a_reformar","no","si","no","no",0,-3.666065,40.42498
"4868",5689,0.26,0.19,167,40,22.4451037773467,10.8508323139206,8.57455680888883,1,1,3,"piso","sexta_o_mas","bueno","si","si","si","no",0,-3.67753,40.425689
"1449",2700,0.25,0.48,70,24.476722137433,19.5566137701235,11.1810440577564,17.5599075693549,0,0,1,"piso","bajo","bueno","no","no","si","no",0,-3.701899,40.464874
"6090",2885,0.44,0.63,125,2.5,16.5594715715936,15.4340900438799,18.1236517127839,0,0,2,"piso","cuar.-quinta","bueno","si","si","si","si",0,-3.68705,40.354066
"9735",2714,0.47,0.75,70,30,17.6805558506683,14.7617732259595,20.543385107905,0,0,1,"piso","cuar.-quinta","bueno","ZZZ","no","si","no",0,-3.689756,40.373844
"2858",2697,0.35,0.52,89,40,16.4637662379734,12.4059736305031,12.0677702549483,1,1,1,"piso","ZZZ","a_reformar","no","si","no","no",0,-3.7018,40.3981
"7085",3906,0.27,0.26,138,30,21.3085529446878,11.4343101904508,6.06361267736289,1,1,2,"piso","sexta_o_mas","bueno","si","si","ZZZ","ZZZ",0,-3.682158,40.407712
"7691",3031,0.14,0.28,65,25,16.9485824548359,14.2042185577595,7.08064473299875,0,0,1,"piso","primera","a_reformar","ZZZ","si","ZZZ","ZZZ",0,-3.720696,40.481687
"7888",2710,0.17,0.27,75,25,15.6252175325429,15.5469058171102,7.53242685105692,1,0,1,"piso","seg.-terc.","bueno","no","no","no","no",0,-3.635058,40.47142
"5669",3227,0.16,0.27,110,40,16.9485824548359,14.2042185577595,7.08064473299875,0,0,2,"piso","sexta_o_mas","bueno","no","si","no","no",0,-3.700165,40.487192
"9554",2286,0.35,0.57,70,30,17.5324251570275,14.0851619218533,15.6513581858227,0,0,1,"piso","seg.-terc.","bueno","no","no","si","no",0,-3.666197,40.38729
"6746",2400,0.24,0.45,50,30,17.5324251570275,14.0851619218533,15.6513581858227,0,0,1,"piso","seg.-terc.","bueno","no","no","no","no",0,-3.666111,40.401051
"5018",3143,0.23,0.2,140,25,16.2444144382421,8.89722566365522,18.5726018625499,1,1,2,"piso","primera","a_reformar","ZZZ","si","no","no",0,-3.672462,40.439323
"211",4200,0.35,0.4,75,20,16.4637662379734,12.4059736305031,12.0677702549483,1,1,1,"piso","primera","bueno","no","si","si","si",0,-3.705654,40.400016
"7411",2912,0.29,0.57,68,32.520164669348,17.5324251570275,14.0851619218533,15.6513581858227,0,0,1,"piso","seg.-terc.","bueno","no","no","si","no",0,-3.641067,40.388724
"142",3263,0.35,0.4,95,30,16.4637662379734,12.4059736305031,12.0677702549483,1,1,1,"piso","cuar.-quinta","bueno","no","si","si","no",0,-3.70437,40.402946
"3688",2113,0.67,0.16,71,34.4680001774331,21.8191401950297,11.6618606886501,13.9478008774786,0,0,1,"piso","bajo","a_reformar","no","no","no","no",0,-3.777602,40.376743
"9402",3571,0.39,0.73,35,15.8927075768896,16.5594715715936,15.4340900438799,18.1236517127839,0,0,1,"piso","primera","bueno","no","si","no","no",0,-3.703945,40.348124
"3672",5308,0.29,0.43,200,30,19.5566137701235,11.1810440577564,17.5599075693549,0,0,3,"piso","primera","bueno","no","si","no","no",1,-3.69853,40.453544
"5622",5087,0.36,0.66,231,30,22.7526510007271,10.208239022182,9.66020549542505,1,1,4,"piso","seg.-terc.","bueno","si","si","si","si",1,-3.698201,40.430243
"11673",2643,0.27,0.44,70,32.1658534399722,21.3085529446878,11.4343101904508,6.06361267736289,1,1,1,"piso","primera","bueno","no","no","ZZZ","ZZZ",0,-3.740845,40.391796
"641",2727,0.14,0.43,88,35,21.8191401950297,11.6618606886501,13.9478008774786,0,0,1,"piso","seg.-terc.","bueno","no","si","no","no",0,-3.759563,40.393212
"8926",6750,0.24,0.45,167,30,20.7117330727654,12.7764832897155,7.36947118834004,1,1,2,"piso","primera","bueno","no","si","no","no",0,-3.6503861,40.435157
"1102",6541,0.24,0.33,170,21.699479773204,18.7982210841953,14.2389070449109,8.04302415686803,1,0,3,"atico","sexta_o_mas","bueno","no","si","ZZZ","ZZZ",1,-3.718786,40.429913
"9660",2195,0.35,0.57,82,27.1183893517003,17.5324251570275,14.0851619218533,15.6513581858227,0,0,1,"piso","seg.-terc.","bueno","no","si","no","no",0,-3.66315,40.39623
"43",4253,0.35,0.4,87,23.2372677300683,16.4637662379734,12.4059736305031,12.0677702549483,1,1,1,"atico","sexta_o_mas","bueno","no","si","si","no",0,-3.704,40.4024
"7509",3590,0.44,0.57,39,30,18.6782268954326,13.431372167504,17.8368933701206,1,1,1,"piso","ZZZ","bueno","no","no","no","no",0,-3.700572,40.406622
"10414",4083,0.33,0.67,180,35.849030540312,22.7526510007271,10.208239022182,9.66020549542505,1,1,3,"piso","sexta_o_mas","a_reformar","no","si","no","no",1,-3.711233,40.430338
