116,CATALUÑA,BV-1468,TRABAJOS DE MANTENIMIENTO,2021/02/01 09:56:00,\"\",B,VERDE,12.2,6.3,SANT JUST DESVERN,BARCELONA,OB010118006,AMBOS SENTIDOS,OBRAS,0,2,41.4184579,id-incidencia-1.116,incidencia,\"\",\"\",2.060766,2.060766,41.4184579,2021/02/05 14:30:00
117,CATALUÑA,C-15,TRABAJOS DE MANTENIMIENTO,2021/02/01 10:29:00,VILANOVA I LA GELTRÚ,B,VERDE,35.0,30.0,SANT PERE DE RIUDEBITLLES,BARCELONA,OB102018196,SUR,OBRAS,0,1,41.4641945,id-incidencia-1.117,incidencia,\"\",\"\",1.6957748,1.6957748,41.4641945,2021/02/05 14:30:00
118,CATALUÑA,C-35,TRABAJOS DE MANTENIMIENTO,2021/02/01 11:57:00,\"\",B,VERDE,48.0,40.0,SANTA AGNES DE MALANYANES,BARCELONA,OB102018217,AMBOS SENTIDOS,OBRAS,0,4,41.6139763,id-incidencia-1.118,incidencia,\"\",\"\",2.3522624,2.3522624,41.6139763,2021/02/05 14:30:00
119,CATALUÑA,B-140,REASFALTADO,2021/02/01 11:50:00,MOLLET DEL VALLÈS,B,VERDE,6.4,6.7,SANTA PERPETUA DE MOGODA,BARCELONA,OB102018214,NORTE,OBRAS,0,1,41.5416315,id-incidencia-1.119,incidencia,\"\",\"\",2.1854754,2.1854754,41.5416315,2021/02/05 14:30:00
120,CATALUÑA,BV-5303,TRABAJOS DE MANTENIMIENTO,2021/02/01 09:58:00,\"\",B,VERDE,4.4,3.7,SEVA,BARCELONA,OB101128148,AMBOS SENTIDOS,OBRAS,0,2,41.84613,id-incidencia-1.120,incidencia,\"\",\"\",2.23337,2.23337,41.84613,2021/02/05 14:30:00
121,CATALUÑA,C-16,TRABAJOS DE MANTENIMIENTO,2021/02/03 22:08:00,BARCELONA,B,VERDE,9.6,12.6,SOLA (EL),BARCELONA,OB102039243,SUR,OBRAS,0,2,41.486278,id-incidencia-1.121,incidencia,\"\",\"\",2.060782,2.060782,41.486278,2021/02/05 14:30:00
122,CATALUÑA,N-150,TRABAJOS DE MANTENIMIENTO,2020/08/14 10:03:00,\"\",B,VERDE,19.0,18.3,TERRASSA,BARCELONA,OB006228257,AMBOS SENTIDOS,OBRAS,0,2,41.5520693,id-incidencia-1.122,incidencia,\"\",\"\",2.0261138,2.0261138,41.5520693,2021/02/05 14:30:00
123,CATALUÑA,C-35,TRABAJOS DE MANTENIMIENTO,2021/02/01 12:00:00,\"\",B,VERDE,50.5,50.0,VALLGORGUINA,BARCELONA,OB102019206,AMBOS SENTIDOS,OBRAS,0,1,41.6553542,id-incidencia-1.123,incidencia,\"\",\"\",2.4468033,2.4468033,41.6553542,2021/02/05 14:30:00
124,CATALUÑA,C-35,TRABAJOS DE MANTENIMIENTO,2020/07/16 09:06:00,\"\",B,VERDE,58.0,50.3,VILALBA SASSERRA,BARCELONA,OB006098274,AMBOS SENTIDOS,OBRAS,0,3,41.6553542,id-incidencia-1.124,incidencia,\"\",\"\",2.4468033,2.4468033,41.6553542,2021/02/05 14:30:00
125,CATALUÑA,N-141D,TRABAJOS DE MANTENIMIENTO,2021/02/01 09:59:00,\"\",B,VERDE,18.7,15.1,VILANOVA DE SAU,BARCELONA,OB101138106,AMBOS SENTIDOS,OBRAS,0,2,41.948638,id-incidencia-1.125,incidencia,\"\",\"\",2.381552,2.381552,41.948638,2021/02/05 14:30:00
