"","FID","Nombre_de_","Nombre_d_1","Descripcio","Operador","Longitude","Latitude","Municipio","Poblacion","COD_INE"
"59",34507,"Aqualeón (Parc Aquàtic)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.48858256800003,41.227711615,"Albinyana",2468,43002
"60",35975,"Pl. Europa - Av. Pere Molas (Royal)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.14450460200004,41.077012971,"Salou",28526,43905
"61",37288,"C. d'Egara, 2 (pal parada)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.43937259700004,41.1672543830001,"Creixell",3758,43050
"62",37472,"C. Pompeu Fabra (IES de l'Arboç)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.59641452300002,41.2684484920001,"L'Arboç",5609,43016
"63",37478,"Ctra. de l'estació (Creu Roja)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.57266737600003,41.192826714,"Calafell",27601,43037
"64",37489,"La Pobla de Montornès (anada)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.41563325200002,41.178414778,"La Pobla de Montornès",2884,43111
"65",37509,"Noves Escoles (anada)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.41517163700007,41.17975955,"La Pobla de Montornès",2884,43111
"66",37529,"Mas Solé / Te","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.40700955400007,41.1898974360001,"La Pobla de Montornès",2884,43111
"67",37549,"Plaça Magraner","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.40191996900006,41.1947179640001,"La Pobla de Montornès",2884,43111
"68",37570,"Carrer de la Perera - final","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.40311955300007,41.1978601960001,"La Pobla de Montornès",2884,43111
"69",37591,"Torrent / Cirerer","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.40574275000006,41.1944376820001,"La Pobla de Montornès",2884,43111
"70",37612,"Torrent / Paniol","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.40988377200006,41.191846748,"La Pobla de Montornès",2884,43111
"71",37633,"Torrent / Pont Nou","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.41189417600003,41.190073,"La Pobla de Montornès",2884,43111
"72",37654,"Carrer Llimones / Palmeres","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.40299413100007,41.190265164,"La Pobla de Montornès",2884,43111
"73",37675,"Carrer Eucaliptus - Transformador","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.40067708100003,41.1894403470001,"La Pobla de Montornès",2884,43111
"74",37696,"Carrer Magnòlies /Palmeres","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.40336925000003,41.1885679550001,"La Pobla de Montornès",2884,43111
"75",37717,"Carrer Desmais / Oms","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.40069164400006,41.1868824270001,"La Pobla de Montornès",2884,43111
"76",37738,"Carrer Acàcies / Roures","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.40363675400005,41.184428225,"La Pobla de Montornès",2884,43111
"77",37759,"Estadi / Violes","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.40505120500006,41.185591775,"La Pobla de Montornès",2884,43111
"78",37780,"Mas Solé","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.40760231300004,41.188563521,"La Pobla de Montornès",2884,43111
"79",37801,"Mas Solé / Farigola","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.40933394700005,41.1869751180001,"La Pobla de Montornès",2884,43111
"80",37822,"Noves Escoles (tornada)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.41506676100005,41.179659024,"La Pobla de Montornès",2884,43111
"81",39959,"Av. Palfuriana(davant Pl.Charly Rivel-St","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.53477393600002,41.183054972,"El Vendrell",38373,43163
"82",40198,"Via Augusta (parada Tuset)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.27268624800007,41.1204319170001,"Tarragona",136496,43148
"83",40562,"C. Vista Alegre - C. Roser (Urb. Baronia","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.55833575200006,41.216103796,"Bellvei",2237,43024
"84",40586,"C. Llorenç - C. Sta.Eulàlia (Urb. Baroni","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.56304659000006,41.2172435890001,"Bellvei",2237,43024
"85",40610,"C. Bellvei (Urb. Baronia del Mar)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.56568478100007,41.219888665,"Bellvei",2237,43024
"86",42437,"N-340 - Av. de les Sínies (marquesina)","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.45104416000004,41.165655498,"Creixell",3758,43050
"87",42629,"C. J. Sunyer -C. R. Casas (Urb. l'Oasi-m","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.55567141900002,41.2168360420001,"El Vendrell",38373,43163
"88",42658,"N-340 - C. Salmó (marquesina El Francàs","L0808","Vilafranca - El Vendrell -Tarragona -Port Aventura","Autocars del Penedès, SA",1.50170491100005,41.1796929820001,"El Vendrell",38373,43163
